AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
LEVEL;;;;;;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold
800M_RUN;Min;sec;ENDURANCE;Ausdauer;800 m Lauf;5:40;5:00;4:15;5:25;4:40;3:55;5:05;4:20;3:35;4:45;4:00;3:15;4:20;3:40;3:00;4:05;3:25;2:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000M_RUN;Min;sec;ENDURANCE;Ausdauer;3.000 m Lauf;;;;;;;;;;;;;;;;;;;17:50;15:50;13:50;17:20;15:20;13:20;17:40;15:40;13:40;18:30;16:30;14:30;19:50;17:20;15:00;21:00;18:30;15:50;22:10;19:30;16:30;23:20;20:20;17:20;23:50;20:50;17:50;24:30;21:30;18:30;25:00;22:00;19:00;25:20;22:20;19:20;26:00;23:00;20:00;26:30;23:30;20:30;27:30;24:30;21:30;29:50;26:50;23:50
10KM_RUN;Min;sec;ENDURANCE;Ausdauer;10 km Lauf;;;;;;;;;;;;;;;;;;;63:20;57:20;51:20;62:30;56:30;50:00;66:00;59:20;52:00;69:40;61:10;54:50;74:10;65:30;56:50;78:50;69:30;60:10;83:40;73:10;63:30;88:20;76:40;65:30;91:30;79:40;67:40;94:40;82:40;70:40;98:00;86:00;74:00;102:10;90:10;78:10;107:20;95:20;83:20;113:10;101:10;89:10;120:10;108:10;96:10;127:40;115:40;103:40
TRAIL_RUN;Min;sec;ENDURANCE;Ausdauer;Dauer-/Geländelauf;10:00;15:00;20:00;12:00;17:00;23:00;17:00;25:00;35:00;25:00;35:00;45:00;35:00;45:00;60:00;55:00;70:00;90:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDIC_WALKING;Min;sec;ENDURANCE;Ausdauer;7,5 km Walking / Nordic Walking;;;;;;;;;;;;;;;;;;;58:30;54:30;50:30;57:00;53:00;49:00;58:30;54:30;50:30;62:30;57:00;51:00;65:00;58:30;53:30;66:00;60:30;54:00;68:30;62:30;55:00;71:00;64:00;57:30;73:00;65:00;59:00;75:45;67:30;60:30;78:10;69:30;62:00;81:30;72:00;65:00;86:10;75:45;67:30;91:30;79:45;72:00;96:00;84:15;75:30;102:45;89:20;80:00
200M_SWIMMING;Min;sec;ENDURANCE;Ausdauer;Schwimmen (200 m);09:00;07:20;06:10;08:00;06:45;05:40;07:00;06:20;05:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9:25;7:40;6:05;9:30;7:50;6:10;9:30;8:00;6:25;9:45;8:10;6:45
400M_SWIMMING;Min;sec;ENDURANCE;Ausdauer;Schwimmen (400 m);;;;;;;;;;13:30;11:30;09:45;12:00;10:15;08:50;11:00;09:40;08:20;;;;;;;;;;;;;;;;;;;;;;17:25;14:20;10:45;17:50;14:35;11:20;18:10;14:45;11:25;18:25;15:05;11:30;18:25;15:15;11:35;;;;;;;;;;;;
800M_SWIMMING;Min;sec;ENDURANCE;Ausdauer;Schwimmen (800 m);;;;;;;;;;;;;;;;;;;22:35;19:50;17:00;22:10;19:30;16:25;23:10;20:00;17:00;25:45;21:30;18:00;28:50;24:00;19:15;32:25;26:25;20:25;34:30;27:50;20:40;;;;;;;;;;;;;;;;;;;;;;;;;;;
5KM_CYCLING;Min;sec;ENDURANCE;Ausdauer;Radfahren (5 km);;;;26:30;23:30;20:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
