AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
LEVEL;;;;;;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold
800M_RUN;Min;sec;ENDURANCE;Ausdauer;800 m Lauf;5:40;5:00;4:15;5:35;4:50;4:10;5:20;4:40;4:00;5:10;4:25;3:45;5:00;4:20;3:35;4:50;4:05;3:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000M_RUN;Min;sec;ENDURANCE;Ausdauer;3.000 m Lauf;;;;;;;;;;;;;;;;;;;20:50;18:50;16:50;20:20;18:20;16:20;20:40;18:40;16:40;21:30;19:30;17:30;22:00;20:00;18:00;22:50;20:40;18:30;23:50;21:30;18:50;24:50;22:10;19:10;25:50;22:50;19:50;26:30;23:30;20:30;27:10;24:10;21:10;27:40;24:40;21:40;28:30;25:30;22:30;29:40;26:40;23:40;31:00;28:00;25:00;32:30;29:30;26:30
10KM_RUN;Min;sec;ENDURANCE;Ausdauer;10 km Lauf;;;;;;;;;;;;;;;;;;;84:40;78:40;72:40;83:30;76:50;71:30;83:30;76:50;71:00;84:10;78:00;71:20;87:40;79:30;71:30;91:20;81:20;71:40;95:20;83:10;72:50;97:40;85:30;74:00;100:10;88:10;76:10;102:50;90:50;78:50;105:40;93:40;81:40;109:30;97:30;85:30;115:20;103:20;91:20;122:20;110:20;98:20;129:10;117:10;105:10;136:30;124:30;112:30
TRAIL_RUN;Min;sec;ENDURANCE;Ausdauer;Dauer-/Geländelauf;8:00;12:00;17:00;10:00;15:00;20:00;15:00;20:00;30:00;20:00;30:00;40:00;30:00;40:00;50:00;45:00;60:00;75:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDIC_WALKING;Min;sec;ENDURANCE;Ausdauer;7,5 km Walking / Nordic Walking;;;;;;;;;;;;;;;;;;;69:30;66:00;62:00;66:30;63:00;60:00;67:00;63:30;60:00;67:30;64:00;61:00;70:00;65:00;61:30;73:00;67:00;62:00;75:30;69:00;63:00;78:00;71:00;64:00;80:00;73:00;66:00;82:30;74:30;67:30;84:15;76:30;70:00;88:15;79:00;72:00;92:30;81:30;74:30;98:30;85:15;77:30;104:00;90:20;82:00;110:21;96:00;87:00
200M_SWIMMING;Min;sec;ENDURANCE;Ausdauer;Schwimmen (200 m);09:00;07:40;06:20;08:00;07:00;05:55;07:20;06:25;05:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10:15;8:20;6:30;10:25;8:30;6:45;10:35;8:45;7:05;10:45;8:55;7:20
400M_SWIMMING;Min;sec;ENDURANCE;Ausdauer;Schwimmen (400 m);;;;;;;;;;14:50;12:55;11:00;13:05;11:40;10:00;11:50;10:30;09:05;;;;;;;;;;;;;;;;;;;;;;18:00;15:00;11:30;18:35;15:20;11:55;19:00;15:35;12:10;19:25;15:45;12:15;19:50;16:05;12:40;;;;;;;;;;;;
800M_SWIMMING;Min;sec;ENDURANCE;Ausdauer;Schwimmen (800 m);;;;;;;;;;;;;;;;;;;24:00;21:10;18:25;23:35;20:50;18:00;25:30;21:05;18:40;28:50;23:40;19:30;32:00;25:35;20:20;34:00;27:40;21:20;35:20;29:00;21:30;;;;;;;;;;;;;;;;;;;;;;;;;;;
5KM_CYCLING;Min;sec;ENDURANCE;Ausdauer;Radfahren (5 km);;;;27:00;24:00;21:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
